id,name,Description,Quantity,ImageURLs,Category,Inventorization,quantityAvailable,Ед. Изм.,Состояние ,Комментарии От Нечаева ,Комментарии кладовщика ,Ответ проектного отдела 
1,Бутылки пустые 19 литров,"Технические бутылки, которые могут использоваться для наполнения и транспортировки технической воды и также могут использоваться как утяжелители ",7,,Расходники/Бытовой,,7,шт,Рабочее,,,
2,3D ручка,"3D ручка  - это инновационный инструмент, который позволяет создавать трехмерные рисунки и модели. Она легкая и удобная в использовании, поэтому даже ребенок справится с ее работой. Ручка оснащена специальным нагревательным элементом, который плавит пластиковый картридж, превращая его в текучую массу. Затем вы можете рисовать в воздухе, создавая удивительные трехмерные фигуры и модели.
Комплектация: 
-Нагревательная ручка - 1 шт. 
- блок питания - 1шт. 
- Коробка оригинальная - 1 шт. 
- Обязательно в комплекте должны быть расходники без которых не будет работать данный аппарат. Это картридж из пластиковой нити!!! ",1,https://i.imgur.com/nBVbjzC.jpg,Аренда/Аттракционы,,1,компл.,Рабочее,,,
3,Автоматический дозатор для жидкого мыла,Пластиковый дозатор для жидкого мыла  в комплекте нет жидкого мыла и батареек,4,https://i.imgur.com/K9pxVbT.jpg,Аренда/Доп.оборудование,,4,шт,Рабочее,,,
4,Аккумулятор холода большой,"Охладитель для переносного холодильника , в этот охладитель  наливается вода и ставиться на несколько часов в морозильник",1,https://i.imgur.com/pouuXTQ.jpg,Аренда/Доп.оборудование,,1,шт,Рабочее,,,
5,Аккумулятор холода маленький,"Охладитель для переносного холодильника , в этот охладитель  наливается вода и ставиться на несколько часов в морозильник",3,https://i.imgur.com/mWmpgWV.jpg,Аренда/Доп.оборудование,,3,шт,Рабочее,,,
6,Альбом для рисования,Альбом 20 на листов формата А4 сшитый,13,https://i.imgur.com/AimyQ8A.jpg,Аренда/Доп.оборудование,,13,шт.,Рабочее,Все категории нужно скорректировать согласно нашей новой таблице категорий. Я её добавил в отдельный лист,,
7,Аппарат для изготовления значков,"Благодаря данному аппарату можно получить брендированный значок с любым изображением. Нужно разместить основу и картинку по схеме, нажать на рычаг далее соединить значок с булавкой с помощью нажатия на рычаг. Комплектация : коробка , аппарат,значки,резак для бумаги,коврик для резки (эти позиции смотреть отдельно ниже)",2,https://imgur.com/ZxCQC4N,Аренда/Доп.оборудование,,2,шт.,Рабочее,,,
8,Арка CORTEVA надувная черная фотозона,Арка большая для декорации мероприятий,1,https://imgur.com/PLHJPBH,Аренда/Тентовые конструкции,,1,шт,Неизвестно,a.mitryakhina@bright.su,"Она нам вообще нужна? 
Какого она размера?
Будем ли мы её использовать? 
",
9,Аэрохоккей,"Здесь не нужно писать что это настольная игра. А мы больше пишем технические характеристики 
Пример:
ШхВхГ:                   см.        - (Что значит Ширина Х Высота Х Глубина и указываем в сантиметрах)
Вес: Здесь не обязательно пока указывать. Но по мере работы мы эту характеристику тоже везде пропишем
Цвет: Здесь можно также не везде указывать. Но тут как я помню это чёрный. То есть ты можешь назвать тем основным цветом. Цвет корпуса
Материал: Корпус ЛДСП, игровое поле - пластик, Мячик пластик (Не обязательно пока что так детально прописывать все моменты. Но если идёт речь про мусорный бак и он полностью выполнен из пластика или из металла, то можно указать. Или если у нас уличная лаунж зона, то также можно указать, что это ротанг или дерево. То есть пишем там, где определить живьём не сложно, а по фото могут быть трудности) 
Комплектация: Шайба 1 шт.; Клюшки 2 шт. ; игровое поле 1шт.; Ноги 2 шт.; Болты 5*12 мм 12 шт. (Это сейчас в качестве примера. Нет задачи в качестве приоритета сейчас пересчитывать это всё. Но крайне важно заполнить это до начала сезона. Потому что ты иногда будешь давать некоторые позиции в разобранном состоянии и должна будешь уверенной в том, что ты отдала в полной комплекции и что оборудование на площадке соберут. А если не соберут, то только потому, что кто-то потерял, но не ты. И когда тебе вернут, ты сможешь пересчитать и отразить в состоянии оборудования разукомплектованность)",2,https://i.imgur.com/J4spUAz.jpg,Аренда/аттракционы,,2,компл.,Неизвестно,"Пишу по ходу дела и поэтапно, чтоб была понятна логика действий:
1) Фиксирую изначальную разбивку ""Аренда/декорации/оборудование""
2) В отдельном столбике вижу что написаны ""Активности""
3) Моя задача привести категории в корректный вид основываясь на утвержденных и согласованных категориях, которые я тебе высылал и которые находятся в соседнем листе с названием ""Категории""
4) По сути, то что было указано перед этим (в пунктах 1 и 2) не имеет большого значения. Так как там могут быть ошибки (как в случае с аккумуляторами) либо категории устаревшие. Но они могут служить тебе подсказками. 
5) Захожу в соседний лист и задаюсь вопросом. Из первого столбика что больше подходит? 
Ближе всего это ""Аренда"", так как мы сдаём в аренду на мероприятия заказчику 
6) Далее я смотрю на подкатегорию, но только на те, который идут в разделе ""Аренда"" (Мебель, техника и освещение и т.д. заканчивая Аттракционами). Аэрохоккей ближе всего к ""Аттракционы"" 
7) Записываю через слеш - Аренда/Аттракционы
Вот такая механика по каждой позиции. ",,
10,Балалайка светодиодная,"Инсталляция балалайка с деревянным корпусом , 
Комплект:
Шнур для розетки",2,https://i.imgur.com/38hM5jE.jpg,Аренда/Аттракционы,,2,шт.,Неизвестно,Проверить работоспособность и сфотографировать в включенной ,,
11,Бандана большая(12 синих 1 красная),Одежда для менеджеров и персонала,13,https://i.imgur.com/O9bVRIW.jpg,Текстиль/Форма менеджеров,,13,шт.,Рабочее,,,
12,Бандана Брайт оранжевая,Одежда для менеджеров и персонала,4,https://i.imgur.com/gemuFpW.jpg,Текстиль/Форма менеджеров,,4,шт.,Рабочее,,,
13,Бандана Брайт фиолетовая,Одежда для менеджеров и персонала,5,https://i.imgur.com/dV5ZwAJ.jpg,Текстиль/Форма менеджеров,,5,шт.,Неизвестно,,,
14,Бандана розовая Брайт,Одежда для менеджеров и персонала,4,https://i.imgur.com/eS7eOTZ.jpg,Текстиль/Форма менеджеров,,4,шт.,Неизвестно,,,
15,Банкетка черная,Черная  обивка на деревянных ножках,1,https://imgur.com/FlXg3ip,Аренда/Мягкая мебель,,1,шт.,Рабочее,,,
18,Бассейн детский игровой (ткань),"Бассейн сухой с наполнением пластмассовых шаров, набор шаров не идут в комплекте , смотреть позицию мячики пластмассовые комплект",1,https://imgur.com/CqETx7t,Аренда/Аттракционы,,1,компл.,Рабочее,,,
19,Батарейки,Батарейки размер АА,1560,https://imgur.com/2gZe9S5,Расходники/бытовой,,1560,шт.,Рабочее,,,
20,Батут 38,Универсальное спортивное снаряжение (для спорта и развлечения),1,https://imgur.com/EKUUir2,Аренда/Аттракционы,,1,шт.,Неизвестно,,,
21,Бахилы,Бахилы одноразовые высокие для сапог (защита обуви от влаги),141,https://imgur.com/Blo2Hjv,Расходники/Бытовой,,141,пара.,Рабочее,,,
22,Бейджи силикон,Пластиковое крепление на одежду с нанесенной  информацией ( могут применяться в комплекте с ланьярдом),23,https://imgur.com/qlO1QCH,Расходники/Бытовой,,23,шт.,Рабочее,,,
23,Бензобур Champion,Бензиновый предназначен для бурения почвы,1,https://imgur.com/2YTPIPC,Инструмент/Бензоинструмент,,1,шт.,Требуется ремонт,Ответственный v.minka@bright.su,,
24,Бензобур Elitech,Бензиновый предназначен для бурения почвы,1,https://imgur.com/cNGGpVv,Инструмент/Бензоинструмент,,1,шт.,Требуется ремонт,Ответственный v.minka@bright.su,,
25,Бензобур HUTER,Бензиновый предназначен для бурения почвы,1,https://imgur.com/0tNrnF4,Инструмент/Бензоинструмент,,1,шт.,Требуется ремонт,Ответственный v.minka@bright.su,,
26,Билеты лотерейные,Билеты игровые для участия в лотереи,299,https://imgur.com/NlRPl4t,Полиграфия/ПВХ,,299,шт.,Рабочее, a.mitryakhina@bright.su Оно нам нужно? ,,
27,Перьевое сверло по кафелю,Предназначены для работы по кафелю и бетону (для вкручивания и выкручивания болтов и шурупов,4,https://imgur.com/7z9vw93,Расходники/Строительные,,4,шт.,Рабочее,Ответственный v.minka@bright.su,,
28,Головка для шуруповерта шестигранная ,Предназначены для работы с металлическими и деревянными изделиями (для вкручивания и выкручивания болтов,2,https://imgur.com/MtwIngH,Расходники/Строительные,,2,шт.,Рабочее,Ответственный v.minka@bright.su,,
29,Биты FIT PH2 150мм,Предназначены для работы с металлическими и деревянными изделиями (для вкручивания и выкручивания саморезов ,1,https://imgur.com/nk7kZ9E,Расходники/Строительные,,1,шт.,Рабочее,Ответственный v.minka@bright.su,,
30,Бокал,Стеклянный на ножке,27,https://imgur.com/2SLSHiz,Расходники/Бытовой,,27,шт.,Рабочее, a.mitryakhina@bright.su Это оборудование не кейтеринга часом? ,,
31,Бокалы Кола,Стеклянный для холодных напитков,2,https://imgur.com/D9QXXTZ,Аренда/Бытовой,,2,шт.,Рабочее, a.mitryakhina@bright.su Оно нам нужно? ,,
33,Бокорезы Ineco,"Специализированный ручной инструмент для резки металлических изделий(проволока,кабель)",1,https://imgur.com/FITu2Z7,Инструменты/Ручной инструмент,,1,шт.,Рабочее,Ответственный v.minka@bright.su,,
34,Бокс менеджера,Набор канцтоваров на выездные мероприятия,1,https://imgur.com/f918mOd,Расходники/бытовой,,1,шт.,Рабочее,Необходимо дать описание комплектующих (содержимое этого бокса) a.mitryakhina@bright.su Кто у нас ответственный за пополнение этого бокса? ,,
35,Болторез,Предназначены для работы с металлическими и деревянными изделиями (для вкручивания и выкручивания болтов и шурупов,1,https://imgur.com/ZnOYIii,Расходники/Строительные,,1,шт.,Рабочее,Ответственный v.minka@bright.su,,
36,Ботинки разноцветные ,Одежда для менеджеров и персонала  38 размер,1,https://imgur.com/nWZpd2G,Текстль/Форма менеджеров,,1,пара,Рабочее, a.mitryakhina@bright.su Оно нам нужно? ,,
